,full_name,code,team,element_type,now_cost,total_points,points_per_game,minutes,goals_scored,assists,goals_conceded,clean_sheets,influence,creativity,threat,id,player_name,time,xG,xA,shots,key_passes,yellow_cards,npxG,xGChain,xGBuildup,xP
287,Son Heung-min,85971,18,3,120,258,7.4,3009,23,10,30,18,1201.8,1051.5,1296,453,Son Heung-Min,3051,16.99217385,7.846953537,86,73,2,16.99217385,29.62477569,10.34309316,261.5
222,Mohamed Salah,118748,12,3,130,265,7.6,2758,23,14,22,17,1241.0,875.9,2230,1250,Mohamed Salah,2757,24.36429724,9.79082047,139,62,1,19.79728423,32.15880717,11.221982,261.5
303,Trent Alexander-Arnold,169187,12,2,75,208,6.5,2853,2,12,22,18,865.2,1449.1,515,6615,Trevoh Chalobah,1459,1.177585544,0.265964285,9,4,2,1.177585544,7.682926476,7.431490391,204.5
160,João Cancelo,121145,13,2,70,201,5.6,3227,1,11,25,19,796.0,786.9,851,2379,João Cancelo,3233,4.544123705,6.00932494,81,39,7,4.544123705,26.88752321,21.15213396,204.5
128,James Maddison,172780,10,3,80,181,5.2,2454,12,11,41,5,827.4,706.2,770,6818,James Maddison,2480,6.496711371,5.674207332,72,48,3,6.496711371,14.60679877,5.826919468,194.33333333333334
139,Jarrod Bowen,178186,19,3,85,206,5.7,2987,12,17,46,8,822.2,627.2,1223,1776,Jarrod Bowen,3003,12.92943069,5.819739578,80,41,6,12.92943069,21.70069078,6.549720867,194.33333333333334
170,Kevin De Bruyne,61366,13,3,120,196,6.5,2196,15,8,22,13,1005.8,1222.0,880,447,Kevin De Bruyne,2214,5.949964629,11.26017386,78,87,2,5.949964629,20.31784094,9.413899871,194.33333333333334
105,Harry Kane,78830,18,4,115,192,5.2,3231,17,11,40,14,1036.4,674.0,1798,647,Harry Kane,3229,20.68506529,9.818287723,133,48,5,17.64039,31.89218297,9.808405856,193.0
15,Alisson Ramses Becker,116535,12,1,55,176,4.9,3240,0,1,24,20,721.4,10.0,0,1257,Alisson,3240,0.0,0.128067985,0,1,0,0.0,9.494231097,9.366163127,181.0
146,Joel Matip,60914,12,2,60,170,5.5,2790,3,3,21,17,711.4,195.3,509,332,Joel Matip,2790,2.720767443,2.078828115,34,12,2,2.720767443,15.50367435,13.80982319,179.66666666666666
18,Andrew Robertson,122798,12,2,70,186,6.4,2537,3,11,20,17,708.2,900.7,372,1688,Andrew Robertson,2550,2.271189099,6.197533656,19,55,5,2.271189099,18.61965583,14.27739758,179.66666666666666
310,Virgil van Dijk,97032,12,2,65,183,5.4,3060,3,3,21,21,726.4,150.3,455,833,Virgil van Dijk,3060,2.169587526,1.557333948,35,9,3,2.169587526,16.26756427,16.18763252,179.66666666666666
76,Diogo Teixeira da Silva,194634,12,4,90,175,5.0,2357,15,7,19,14,736.8,538.2,1379,6854,Diogo Jota,2401,17.34798685,5.874596626,90,40,3,17.34798685,25.77839158,6.919246885,175.0
40,Bukayo Saka,223340,1,3,80,179,4.7,2978,11,9,39,13,790.4,977.8,1434,7322,Bukayo Saka,3034,9.905908005,7.63138089,97,68,6,8.38357033,19.44989771,9.058581024,174.5
207,Mason Mount,184341,6,3,80,169,5.3,2358,11,11,25,11,823.8,944.9,995,7768,Mason Mount,2367,8.522425089,7.212918352,76,58,4,7.761256311,18.23221424,7.473152038,174.5
57,Cristiano Ronaldo dos Santos Aveiro,14937,14,4,105,159,5.3,2454,18,3,41,8,800.4,421.9,1535,2371,Cristiano Ronaldo,2468,17.21283987,4.424966127,110,26,8,14.92933339,23.25371291,7.720640169,159.0
82,Ederson Santana de Moraes,121160,13,1,55,155,4.2,3330,0,0,26,20,561.2,0.0,0,6054,Ederson,3330,0.0,0.0,0,0,3,0.0,9.952974223,9.952974223,157.66666666666666
110,Hugo Lloris,37915,18,1,55,158,4.2,3420,0,0,40,16,746.2,23.0,0,637,Hugo Lloris,3420,0.0,0.206324298,0,2,2,0.0,5.441955624,5.235631322,157.66666666666666
27,Aymeric Laporte,146941,13,2,60,160,4.8,2830,4,2,24,18,660.0,201.0,348,2498,Aymeric Laporte,2848,4.454538737,0.611626728,35,9,5,4.454538737,18.63745562,18.22057494,154.0
276,Rúben Gato Alves Dias,171314,13,2,60,141,4.9,2401,2,5,18,14,581.2,225.2,268,8961,Rúben Dias,2403,2.535038081,3.157990403,18,16,5,2.535038081,16.94048325,16.11795911,154.0
255,Raphael Dias Belloli,219961,11,3,70,145,4.1,2916,11,4,68,5,770.8,928.6,915,8026,Raphinha,2940,10.23054277,6.939143706,87,64,7,7.185867405,17.0025534,6.288567488,152.33333333333334
254,Raheem Sterling,103955,6,3,100,163,5.4,2121,13,7,17,13,730.8,613.2,1188,618,Raheem Sterling,2119,15.77813596,5.024925258,58,42,1,13.49462943,23.09551394,9.665588729,152.33333333333334
316,Wilfried Zaha,82403,7,3,70,150,4.5,2759,14,2,34,11,777.2,660.5,1001,522,Wilfried Zaha,2762,10.18411793,4.893215872,69,46,4,4.855935965,12.10089801,3.808694246,152.33333333333334
34,Bernardo Veiga de Carvalho e Silva,165809,13,3,70,155,4.4,2856,8,8,23,16,739.4,876.1,958,3635,Bernardo Silva,2865,7.771977244,6.567136323,48,59,6,7.771977244,25.98425183,14.36225124,152.33333333333334
259,Reece James,225796,6,2,60,141,5.4,1863,5,9,22,7,605.2,733.4,440,8067,Reece James,1866,2.543488082,7.030301146,37,48,4,2.543488082,15.9818927,11.94056059,150.5
132,James Ward-Prowse,101178,17,3,65,159,4.4,3215,10,5,65,7,970.0,1170.6,413,843,James Ward-Prowse,3222,5.089495884,6.395681728,55,71,3,2.044820508,11.12964886,9.245466953,149.2
37,Bruno Borges Fernandes,141746,14,3,100,151,4.2,3110,10,7,54,8,906.6,1291.9,910,1228,Bruno Fernandes,3135,9.285308836,8.811853212,89,88,10,7.762971139,22.98672084,11.1422598,149.2
159,José Malheiro de Sá,149065,20,1,50,146,3.9,3285,0,1,40,11,947.0,30.0,0,9740,José Sá,3291,0.0,0.39501904,0,2,3,0.0,2.492332662,2.097313623,143.0
199,Marc Cucurella Saseta,179268,5,2,50,126,3.6,3089,1,1,39,11,679.8,700.8,207,7134,Marc Cucurella,3102,0.729302244,2.871597765,18,42,6,0.729302244,11.11178769,9.069734023,140.71428571428572
214,Matty Cash,199796,2,2,50,147,3.9,3377,4,3,50,13,754.8,432.1,534,8864,Matthew Cash,3386,2.483257779,2.902314514,37,28,8,2.483257779,11.00866912,7.563899601,140.71428571428572
117,Ivan Toney,144485,4,4,70,139,4.2,2908,12,5,47,8,717.8,573.6,1320,998,Ivan Toney,2905,12.04858445,7.343531036,88,43,8,8.242777068,12.16912108,2.393365053,139.5
218,Michail Antonio,57531,19,4,75,140,3.9,2975,10,10,43,7,649.2,615.6,1274,531,Michail Antonio,2994,12.78862318,5.767141381,83,46,6,12.02745428,21.07401631,6.651938524,139.5
181,Leandro Trossard,116216,5,3,65,141,4.1,2803,8,4,33,11,627.6,708.3,1020,7698,Leandro Trossard,2830,7.961577551,5.277912248,73,47,2,7.200408699,16.13906214,5.856929445,134.6315789473684
204,Martin Ødegaard,184029,1,3,65,131,3.6,2782,7,4,39,11,676.6,1073.2,639,2517,Martin Odegaard,2803,4.223580375,6.601954004,53,75,4,4.223580375,18.23506172,10.91330955,134.6315789473684
114,Ilkay Gündogan,59859,13,3,75,124,4.6,1851,8,5,10,14,549.2,613.8,798,314,Ilkay Gündogan,1852,9.720696449,4.720961082,55,37,1,9.720696449,21.32914542,8.763400979,134.6315789473684
108,Harvey Barnes,201666,10,3,70,137,4.3,2095,6,12,30,8,546.2,425.3,1000,6681,Harvey Barnes,2108,6.215694452,4.480990872,66,28,2,6.215694452,12.55847304,3.729523107,134.6315789473684
54,Conor Gallagher,232787,6,3,60,140,4.1,2843,8,6,38,11,673.8,635.9,672,9040,Conor Gallagher,2863,7.672957666,4.1431686,52,39,10,7.672957666,14.21198064,5.389100716,134.6315789473684
250,Phil Foden,209244,13,3,80,137,4.9,2125,9,6,16,13,580.8,716.4,954,6055,Phil Foden,2141,9.263243042,6.833740674,57,40,1,9.263243042,19.27443908,6.218502756,134.6315789473684
263,Riyad Mahrez,103025,13,3,80,135,4.8,1485,11,7,14,7,616.8,631.6,842,750,Riyad Mahrez,1468,10.12358599,3.932822068,61,40,0,6.317741683,14.36691327,6.279026715,134.6315789473684
278,Saïd Benrahma,172841,19,3,60,138,4.3,2162,8,6,27,9,561.0,476.4,737,3585,Said Benrahma,2208,6.15502933,4.772109419,63,32,0,6.15502933,13.89449906,4.217210844,134.6315789473684
1,Aaron Ramsdale,225321,1,1,50,135,4.0,3060,0,0,39,12,690.2,1.0,0,5603,Aaron Ramsdale,3060,0.0,0.0,0,0,1,0.0,3.995808562,3.995808562,131.7
189,Lukasz Fabianski,37096,19,1,50,136,3.7,3330,0,0,50,8,918.6,0.0,0,706,Lukasz Fabianski,3330,0.0,0.0,0,0,2,0.0,3.294204729,3.294204729,131.7
88,Emiliano Martínez Romero,98980,2,1,50,129,3.6,3240,0,0,48,11,755.8,0.0,0,4401,Emiliano Martinez,3240,0.0,0.0,0,0,4,0.0,2.479882091,2.479882091,131.7
167,Kasper Schmeichel,17745,10,1,50,131,3.5,3330,0,0,58,7,1076.6,11.2,0,745,Kasper Schmeichel,3330,0.0,0.015869191,0,1,1,0.0,5.707258919,5.691389726,131.7
83,Edouard Mendy,228286,6,1,50,130,3.8,3060,0,0,31,14,585.8,0.0,0,6880,Edouard Mendy,3060,0.0,0.0,0,0,3,0.0,5.087311735,5.087311735,131.7
67,David De Gea Quintana,51940,14,1,50,132,3.5,3420,0,0,57,8,965.8,0.3,0,9676,David Raya,2160,0.0,0.040995967,0,1,1,0.0,4.120815102,4.120815102,131.7
102,Gabriel dos Santos Magalhães,226597,1,2,50,146,4.2,3063,5,0,38,13,746.8,131.6,470,7752,Gabriel Martinelli,1877,8.864315951,4.084667277,51,34,1,8.103147114,10.52859744,2.56051336,131.27272727272728
90,Eric Dier,93264,18,2,50,132,3.8,3071,0,1,30,16,727.4,117.1,195,643,Eric Dier,3071,1.563533336,1.319251936,14,8,1,1.563533336,15.4362247,14.82423672,131.27272727272728
296,Thiago Emiliano da Silva,51090,6,2,55,130,4.1,2649,3,1,28,11,829.4,133.9,229,3288,Thiago Silva,2638,1.073761396,0.253943777,18,7,2,1.073761396,18.045898,17.84714226,131.27272727272728
200,Marc Guéhi,209036,7,2,45,123,3.4,3222,2,1,43,11,720.6,98.5,290,7603,Marc Guehi,3227,2.491802921,1.200649503,19,6,4,2.491802921,7.824273723,7.775642022,131.27272727272728
143,Joachim Andersen,174874,7,2,45,124,3.6,2914,0,4,37,12,630.6,234.0,142,6314,Joachim Andersen,2917,0.484173433,1.383201352,8,18,4,0.484173433,8.210468907,8.000137582,131.27272727272728
53,Conor Coady,94147,20,2,50,138,3.6,3361,4,0,43,11,781.0,45.4,202,6851,Conor Coady,3369,2.326475089,0.07832194,12,3,4,2.326475089,5.348749375,5.322400199,131.27272727272728
134,Jamie Vardy,101668,10,4,95,133,5.3,1801,15,3,27,4,599.8,229.5,775,755,Jamie Vardy,1807,9.991949596,1.605514582,54,18,2,9.991949596,12.63601271,1.998272904,131.0
242,Ollie Watkins,178301,2,4,75,131,3.7,2950,11,3,48,10,613.8,469.6,1345,8865,Ollie Watkins,2970,11.49815112,2.997609952,77,35,7,10.73698231,17.14851334,5.538891929,131.0
201,Marcos Alonso,82263,6,2,55,128,4.6,2164,4,5,22,9,560.2,677.3,566,1621,Marcos Alonso,2185,3.494261967,5.042935017,43,44,8,3.494261967,13.58160692,9.749325514,125.0
265,Robert Sánchez,215059,5,1,45,126,3.4,3330,0,0,42,11,811.0,30.0,0,9098,Robert Sánchez,3330,0.0,0.636246741,0,3,3,0.0,5.044873726,4.75671817,125.0
261,Richarlison de Andrade,212319,18,4,85,125,4.2,2522,10,6,46,7,651.4,383.7,1010,6026,Richarlison,2532,10.01377235,4.383790702,74,29,8,7.73030267,11.76966438,3.004405417,124.0
100,Gabriel Fernando de Jesus,205651,1,4,80,120,4.3,1871,8,8,15,11,567.4,530.9,1126,5613,Gabriel,3075,3.542727418,0.24852202,29,8,6,3.542727418,11.80419115,11.41237204,120.0
39,Bryan Mbeumo,446008,4,4,60,119,3.4,2905,4,7,47,9,459.8,520.6,967,6552,Bryan Mbeumo,2934,9.805262707,3.957221266,77,34,4,9.04409384,17.78692564,6.478674982,118.5
308,Vicente Guaita,40836,7,1,45,119,4.0,2655,0,0,33,11,614.6,0.0,0,2190,Vicente Guaita,2659,0.0,0.0,0,0,2,0.0,3.258347865,3.258347865,116.5
120,Jack Harrison,221399,11,3,60,117,3.3,2638,8,1,68,3,614.6,591.8,687,8720,Jack Harrison,2660,5.154693676,3.448970664,43,42,3,5.154693676,9.215940803,4.422531812,116.5
17,Allan Saint-Maximin,170137,15,3,65,116,3.3,2804,5,7,54,9,575.8,671.5,862,101,Allan Saint-Maximin,2825,5.663676346,5.261043435,64,50,5,5.663676346,14.37779012,3.898579237,116.5
157,Jorge Luiz Frello Filho,85955,6,3,60,106,3.7,2271,6,2,16,12,605.8,429.3,214,1389,Jorginho,2285,5.913261387,2.892732302,16,27,5,0.585079502,16.20184677,15.19344982,114.54545454545455
86,Emile Smith Rowe,209289,1,3,60,125,3.8,1909,10,2,28,8,555.8,453.3,576,7230,Emile Smith-Rowe,1928,5.363847865,3.033006122,40,30,1,5.363847865,10.87411255,4.788454653,114.54545454545455
123,Jacob Ramsey,232653,2,3,55,109,3.2,2465,6,1,35,12,538.2,334.0,432,8941,Jacob Ramsey,2493,3.822880995,2.036960225,34,21,6,3.822880995,11.24665216,6.3338746,114.54545454545455
322,Youri Tielemans,166989,10,3,65,120,3.8,2629,6,4,42,6,723.8,578.9,460,5956,Youri Tielemans,2638,4.266480736,4.306583675,59,37,3,2.744142994,14.25930858,8.546898698,114.54545454545455
268,Rodrigo Hernandez,220566,13,3,60,127,3.8,2884,7,2,22,17,758.2,541.4,444,2496,Rodri,2901,2.718254037,1.552179277,45,27,5,2.718254037,26.25977228,23.95590226,114.54545454545455
244,Pablo Fornals Malla,217593,19,3,55,117,3.2,2795,6,4,38,8,574.8,719.5,532,2335,Pablo Fornals,2805,5.137447748,5.967042696,44,47,4,5.137447748,17.6745791,8.343815597,114.54545454545455
155,Jordan Henderson,56979,12,3,55,110,3.1,2592,2,5,22,15,487.4,659.5,247,605,Jordan Henderson,2616,1.372686027,4.195083426,31,37,3,1.372686027,18.98279453,15.45352918,113.55555555555556
149,John McGinn,122806,2,3,55,110,3.1,3090,3,4,48,10,700.2,777.8,307,7723,John McGinn,3099,1.828072743,5.359244042,43,53,8,1.828072743,12.84035881,8.202694291,113.55555555555556
87,Emiliano Buendía Stati,195546,2,3,60,107,3.1,1887,4,6,32,7,482.8,660.5,531,2203,Emiliano Buendía,1907,3.0539307,4.653005529,44,47,1,3.0539307,10.57356243,5.318293558,113.55555555555556
164,Kai Havertz,219847,6,4,80,112,3.9,1802,8,4,18,10,461.2,329.5,939,5220,Kai Havertz,1829,10.67087702,2.56778034,56,21,3,10.67087702,17.61882034,5.074297678,113.5
101,Gabriel Martinelli Silva,444145,1,3,60,110,3.8,1855,6,7,25,7,475.8,483.3,786,5543,Gabriel Jesus,1885,10.15355978,5.913653579,64,38,1,9.392391063,19.49117254,6.347170256,112.0
