,Unnamed: 0,full_name,code,team,element_type,now_cost,total_points,points_per_game,minutes,goals_scored,assists,goals_conceded,clean_sheets,influence,creativity,threat,Unnamed: 16,id,player_name,time,xG,xA,shots,key_passes,yellow_cards,npxG,xGChain,xGBuildup,xP
242,332,Trent Alexander-Arnold,169187,12,2,75,4,2,180,0,0,3,0,37.2,95.8,42,122,1791,Trent Alexander-Arnold,180,0.145500511,0.949059075,4,6,0,0.145500511,2.276128829,1.304731011,27.85714286
43,418,Dan Burn,78916,15,2,45,13,6.5,180,0,0,0,2,32,11.9,40,227,7382,Dan Burn,180,0.237977903,0.022218166,5,1,0,0.237977903,0.619866908,0.588064015,26.5
72,426,Fabian SchÃ¤r,119471,15,2,46,20,10,180,1,0,0,2,86.6,15.3,25,7,76,Fabian SchÃ¤r,180,0.062356032,0.049559593,2,1,1,0.062356032,0.606013238,0.606013238,26.5
112,359,JoÃ£o Cancelo,121145,13,2,70,18,9,180,0,1,0,2,24.6,40.6,17,133,2379,JoÃ£o Cancelo,180,0.042535771,0.154906496,2,2,1,0.042535771,1.218650609,1.105754524,26.5
138,417,Kieran Trippier,77794,15,2,50,14,7,180,0,0,0,2,40.4,57.3,10,75,652,Kieran Trippier,180,0.0519058,0.178833578,1,3,0,0.0519058,0.302805066,0.302805066,26.5
141,353,Kyle Walker,58621,13,2,51,12,6,171,0,0,0,2,17.6,25.9,0,72,638,Kyle Walker,176,0,0.022680599,0,1,0,0,1.239457607,1.216777012,26.5
180,361,Nathan AkÃ©,126184,13,2,50,13,6.5,180,0,0,0,2,42.6,3.9,42,84,751,N&#039;Golo KantÃ©,178,0.068598311,0.186219402,2,3,0,0.068598311,1.209594131,1.092913389,26.5
207,365,RÃºben Gato Alves Dias,171314,13,2,60,12,6,153,0,0,0,2,27.8,3.5,24,205,6853,RÃºben Neves,180,0.071305196,0.135649279,3,2,1,0.071305196,0.77859211,0.72252728,26.5
0,536,Aaron Cresswell,55459,19,2,50,3,1.5,180,0,0,3,0,36.6,84.5,1,59,534,Aaron Cresswell,180,0.054936752,0.362379491,1,6,0,0.054936752,0.331344366,0.285090089,13.3125
1,107,Aaron Hickey,472713,4,2,50,7,3.5,162,0,0,2,1,10.6,4.4,21,276,8942,Aaron Hickey,169,0.04249813,0,1,0,0,0.04249813,0,0,13.3125
6,58,Adam Smith,54469,3,2,45,4,2,180,0,0,4,1,22.6,5.9,24,95,825,Adam Smith,180,0.317424025,0,2,0,2,0.317424025,0.430913605,0.113489594,13.3125
7,120,Adam Webster,110735,5,2,45,8,4,180,0,0,1,1,29.6,3.2,19,237,7699,Adam Webster,180,0.027804565,0,1,0,0,0.027804565,0.491450891,0.491450891,13.3125
15,331,Andrew Robertson,122798,12,2,70,3,1.5,152,0,0,3,0,20.2,15.6,30,116,1688,Andrew Robertson,156,0.080319382,0,1,0,0,0.080319382,1.465770066,1.385450721,13.3125
17,250,Antonee Robinson,169528,9,2,45,7,3.5,180,0,0,2,1,36,20,1,274,8940,Antonee Robinson,180,0.0142226,0.071957447,1,1,0,0.0142226,0.109696269,0.023516221,13.3125
18,497,Armel Bella-Kotchap,477386,17,2,45,1,1,90,0,0,2,0,7.8,0.3,1,298,9710,Armel Bella Kotchap,90,0.051009428,0,1,0,0,0.051009428,0.75369817,0.702688754,13.3125
19,157,Ben Chilwell,172850,6,2,60,9,9,64,0,1,0,1,3.2,4.7,2,90,782,Ben Chilwell,74,0,0,0,0,0,0,0.142317265,0.142317265,13.3125
20,508,Ben Davies,115556,18,2,50,6,3,175,0,1,3,0,62.6,27.7,42,76,660,Ben Davies,178,0.087457485,0.036633864,2,2,0,0.087457485,0.904017901,0.836574316,13.3125
21,549,Ben Johnson,222018,19,2,45,3,1.5,180,0,0,3,0,31.4,0.5,0,191,6424,Ben Johnson,180,0,0,0,0,0,0,0.218839958,0.218839958,13.3125
