full_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,now_cost
Aaron Connolly,3,3,61,1250,22,91.4,150.6,530,76,5,42
Aaron Cresswell,3,0,79,2727,51,441,535.4,180,115.9,5,45
Aaron Lennon,0,0,15,485,15,37.8,45,12,9.6,0,46
Aaron Mooy,2,2,80,2079,33,614.9,436.6,291,134,6,47
Aaron Ramsdale,0,1,126,3330,62,24,973.8,0,99.7,5,44
Aaron Wan-Bissaka,0,4,127,3070,33,443.3,749.2,133,132.8,12,55
Abdoulaye Doucour�,4,4,113,3156,61,539,529.6,667,173.4,10,54
Adam Lallana,1,1,27,371,5,68.8,107.2,74,25.1,1,57
Adam Masina,1,0,66,1815,31,201.3,351.2,109,66.4,6,43
Adam Smith,0,1,49,2055,40,183,309.6,97,58.8,4,43
Adam Webster,3,1,88,2668,44,153.2,696.6,221,107.3,5,44
Adama Traor�,4,9,130,2599,33,786.4,727.2,583,209.7,7,56
Adrian Mariappa,0,0,26,1509,33,75.2,216.6,32,31.7,3,41
Adri�n San Miguel del Castillo,0,0,27,873,10,0,131.4,0,13.2,2,40
Ahmed El Mohamady,1,1,39,1024,28,324.1,254.6,67,64.6,2,41
Ainsley Maitland-Niles,0,2,41,1382,22,182,301.8,58,53.6,3,45
Alex Iwobi,1,0,52,1591,30,383.7,246.4,329,95.9,4,56
Alex McCarthy,0,0,104,2520,35,10,652,0,66,7,45
Alex Oxlade-Chamberlain,4,1,76,1475,12,298.2,300,406,99.9,8,61
Alexander Tettey,1,1,67,2339,44,116.5,358,173,64.9,5,44
Alexandre Lacazette,10,7,118,1867,25,337.7,536.4,861,173.8,5,92
Alexis Mac Allister,0,0,12,348,6,73.8,28.4,66,16.9,0,54
Alireza Jahanbakhsh,2,1,28,305,4,62.5,90.6,106,25.9,1,58
Alisson Ramses Becker,0,1,122,2543,24,10,503,0,51.5,13,62
Allan Saint-Maximin,3,5,92,1860,22,423.4,434,542,139.8,8,52
Andre Gray,2,1,39,741,17,129.5,106.2,287,51.2,0,55
Andreas Christensen,0,0,34,1751,33,70.9,353.6,96,52.1,3,48
