full_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,now_cost,element_type
Aaron Connolly,2,1,38,783,17,74.1,104.2,307.0,48.2,1,52,4
Aaron Cresswell,0,11,153,3170,41,898.6,669.4,96.0,166.8,11,57,2
Aaron Ramsdale,0,0,123,3420,63,20.0,1023.0,4.0,104.7,5,46,1
Aaron Wan-Bissaka,2,5,144,3060,36,498.2,785.4,159.0,144.1,13,58,2
Abdoulaye Doucouré,2,3,80,2443,36,319.4,433.8,267.0,102.1,9,51,3
Aboubakar Kamara,0,0,8,307,9,76.8,22.6,39.0,13.2,0,48,3
Adam Lallana,1,1,58,1584,18,355.7,255.2,302.0,91.0,5,62,3
Adam Webster,1,0,85,2594,35,96.6,505.4,244.0,84.6,9,43,2
Adama Traoré,2,4,94,2640,41,751.0,475.4,645.0,187.2,7,60,3
Ademola Lookman,4,4,107,2746,33,884.6,514.2,928.0,232.7,10,47,3
Ahmed El Mohamady,0,0,33,833,9,201.8,170.4,65.0,43.9,3,42,2
Ainsley Maitland-Niles,0,2,68,1714,23,128.9,218.2,142.0,48.8,6,46,2
Aleksandar Mitrović,3,3,63,1389,24,323.8,245.6,697.0,124.9,1,55,4
Alex Iwobi,1,3,65,1530,21,263.1,262.6,233.0,76.0,5,59,3
Alex McCarthy,0,0,94,2700,57,0.0,741.2,0.0,74.0,7,44,1
Alex Nicolao Telles,0,2,25,689,11,200.7,168.6,33.0,40.1,1,53,2
Alexandre Lacazette,13,3,129,1916,21,307.4,602.4,797.0,170.4,7,84,4
Alexis Mac Allister,1,1,48,1108,14,210.6,170.6,235.0,61.5,5,53,3
Alireza Jahanbakhsh,0,1,24,520,9,162.8,73.2,221.0,45.5,1,54,3
Alisson Ramses Becker,1,0,140,2970,32,0.1,776.4,17.0,79.4,10,60,1
Allan Marques Loureiro,0,0,47,2050,30,233.3,366.6,42.0,64.4,7,52,3
Allan Saint-Maximin,3,5,85,1554,26,394.2,376.0,418.0,118.9,7,52,3
Alphonse Areola,0,0,124,3240,48,0.0,876.2,0.0,87.4,9,45,1
Andreas Christensen,0,0,61,1371,17,80.9,293.4,34.0,40.9,8,47,2
Andrew Robertson,1,8,161,3384,42,1129.3,754.4,359.0,224.5,12,73,2
Andriy Yarmolenko,0,1,17,362,7,80.3,50.6,106.0,23.5,1,55,3
Andros Townsend,1,5,94,2250,37,694.6,511.4,311.0,152.1,7,55,3
André Filipe Tavares Gomes,0,1,48,1559,22,244.5,189.0,103.0,53.0,5,53,3
André-Frank Zambo Anguissa,0,3,76,2581,40,409.4,507.6,312.0,123.1,6,44,3
Andy Carroll,1,1,30,380,8,37.1,64.0,187.0,27.7,1,51,4
Angelo Ogbonna,3,0,100,2492,34,56.4,489.8,244.0,79.1,9,47,2
Anthony Martial,4,7,75,1477,23,265.4,297.6,709.0,126.8,4,86,4
Antonee Robinson,0,0,57,2159,28,475.8,451.4,178.0,110.8,5,44,2
Antonio Rüdiger,1,0,93,1710,10,83.8,368.6,201.0,65.4,11,47,2
Anwar El Ghazi,10,0,111,1604,22,426.1,500.4,726.0,165.1,5,52,3
Arthur Masuaku,0,2,42,1006,15,200.5,187.4,62.0,45.0,4,43,2
Ashley Barnes,3,0,52,1324,19,243.6,153.8,548.0,93.8,6,60,4
Ashley Westwood,3,4,112,3410,55,843.2,559.2,156.0,156.1,11,53,3
Axel Tuanzebe,0,0,7,402,8,6.0,95.0,0.0,10.0,0,41,2
