,full_name,code,team,element_type,now_cost,total_points,points_per_game,minutes,goals_scored,assists,goals_conceded,clean_sheets,influence,creativity,threat
536,Aaron Cresswell,55459,19,2,50,3,1.5,180,0,0,3,0,36.6,84.5,1
107,Aaron Hickey,472713,4,2,50,7,3.5,162,0,0,2,1,10.6,4.4,21
13,Aaron Ramsdale,225321,1,1,50,7,3.5,180,0,0,2,1,30.6,0,0
210,Abdoulaye Doucouré,121599,8,3,55,3,1.5,124,0,0,2,0,10.2,4.1,27
482,Adam Armstrong,155511,17,4,55,5,2.5,74,0,1,2,0,17.4,11.9,5
114,Adam Lallana,39155,5,3,50,5,2.5,139,0,0,1,1,25.6,43.6,42
58,Adam Smith,54469,3,2,45,4,2,180,0,0,4,1,22.6,5.9,24
120,Adam Webster,110735,5,2,45,8,4,180,0,0,1,1,29.6,3.2,19
243,Aleksandar Mitrović,128389,9,4,66,12,6,180,2,0,2,1,87.8,26,92
211,Alex Iwobi,153133,8,3,55,4,2,180,0,0,3,0,32,55.2,2
127,Alexis Mac Allister,243016,5,3,55,2,1,180,0,0,1,1,13.2,5.6,11
328,Alisson Ramses Becker,116535,12,1,55,3,1.5,180,0,0,3,0,25,0,0
428,Allan Saint-Maximin,170137,15,3,65,5,2.5,163,0,0,0,2,12.2,30.8,89
551,Alphonse Areola,84182,19,1,45,1,1,61,0,0,2,0,0,0,0
254,Andreas Hoelgebaum Pereira,156689,9,3,45,5,2.5,173,0,0,2,1,5.4,45.2,14
331,Andrew Robertson,122798,12,2,70,3,1.5,152,0,0,3,0,20.2,15.6,30
220,Anthony Gordon,232826,8,3,55,4,2,180,0,0,3,0,8.6,2.5,58
250,Antonee Robinson,169528,9,2,45,7,3.5,180,0,0,2,1,36,20,1
497,Armel Bella-Kotchap,477386,17,2,45,1,1,90,0,0,2,0,7.8,0.3,1
157,Ben Chilwell,172850,6,2,60,9,9,64,0,1,0,1,3.2,4.7,2
508,Ben Davies,115556,18,2,50,6,3,175,0,1,3,0,62.6,27.7,42
549,Ben Johnson,222018,19,2,45,3,1.5,180,0,0,3,0,31.4,0.5,0
110,Ben Mee,51927,4,2,45,14,7,148,1,0,2,1,47,1.7,35
69,Ben Pearson,156687,3,3,45,4,2,161,0,0,4,1,13,2.2,7
8,Benjamin White,198869,1,2,45,6,3,164,0,0,2,1,41.2,15.3,0
238,Bobby De Cordova-Reid,96994,9,3,55,4,2,180,0,0,2,1,20.2,23.8,66
51,Boubacar Kamara,226944,2,3,50,4,2,171,0,0,3,0,31.8,7,5
314,Brenden Aaronson,427637,11,3,55,3,1.5,174,0,0,3,0,11.2,26.1,39
456,Brennan Johnson,242898,16,4,60,3,1.5,180,0,0,2,1,1.6,15.2,23
387,Bruno Borges Fernandes,141746,14,3,99,3,1.5,179,0,0,6,0,19.8,59.7,30
434,Bruno Guimarães Rodriguez Moura,208706,15,3,60,6,3,180,0,0,0,2,32,51.2,3
101,Bryan Mbeumo,446008,4,4,60,8,4,162,1,0,2,1,44,18.6,50
11,Bukayo Saka,223340,1,3,80,8,4,173,0,1,2,1,15.6,51.5,59
145,César Azpilicueta,41328,6,2,50,8,4,107,0,0,1,1,21.6,26.2,2
416,Callum Wilson,75115,15,4,75,8,4,175,1,0,0,2,35.2,40.1,51
485,Che Adams,200439,17,4,64,2,2,90,0,0,2,0,5.2,13.5,3
199,Cheick Doucouré,438464,7,3,50,4,2,152,0,0,2,0,18.6,31.8,3
72,Chris Mepham,223911,3,2,45,6,3,180,0,0,4,1,47.8,0.2,0
403,Christian Eriksen,80607,14,3,64,4,2,176,0,0,6,0,32.4,47.7,57
85,Christian Nørgaard,128295,4,3,55,5,2.5,151,0,0,2,1,17.8,13.4,0
225,Conor Coady,94147,8,2,49,2,2,80,0,0,1,0,16.6,0.5,0
519,Cristian Romero,221632,18,2,50,3,1.5,180,0,0,3,0,42.8,3.1,13
380,Cristiano Ronaldo dos Santos Aveiro,14937,14,4,104,3,1.5,127,0,0,4,0,12.4,47.1,46
418,Dan Burn,78916,15,2,45,13,6.5,180,0,0,0,2,32,11.9,40
269,Daniel Amartey,155569,10,2,45,2,1,152,0,0,5,0,24.4,14.6,1
567,Daniel Castelo Podence,200600,20,3,55,12,6,180,1,0,2,1,42.6,56.1,34
299,Daniel James,200617,11,3,60,1,1,56,0,0,2,0,5.6,1,19
29,Danny Ings,84939,2,4,70,7,3.5,142,1,0,1,1,32.8,22.5,80
266,Danny Ward,95463,10,1,40,2,1,180,0,0,6,0,37.8,0,0
116,Danny Welbeck,50175,5,4,65,9,4.5,180,0,1,1,1,27.2,47.4,76
343,Darwin Núñez Ribeiro,447203,12,4,90,7,3.5,95,1,1,2,0,53.2,21.7,156
381,David De Gea Quintana,51940,14,1,49,2,1,180,0,0,6,0,37.6,0,0
87,David Raya Martin,154561,4,1,45,9,4.5,180,0,0,2,1,47.4,0,0
460,Dean Henderson,172649,16,1,45,17,8.5,180,0,0,2,1,98,0,0
546,Declan Rice,204480,19,3,50,1,0.5,180,0,0,3,0,39.6,7.6,19
522,Dejan Kulusevski,445044,18,3,81,15,7.5,175,1,1,3,0,68.8,41.4,49
214,Demarai Gray,172632,8,3,55,4,2,170,0,0,2,0,10.6,32.1,57
48,Diego Carlos Santos Silva,165659,2,2,49,3,1.5,180,0,0,3,0,23,2.8,32
296,Diego Llorente,149915,11,2,45,3,1.5,180,0,0,3,0,35.4,0.8,3
396,Diogo Dalot Teixeira,216051,14,2,44,1,0.5,180,0,0,6,0,34,59.2,79
67,Dominic Solanke,154566,3,4,59,2,2,90,0,0,0,1,4.4,0.6,43
227,Dwight McNeil,433154,8,3,55,4,2,123,0,0,2,0,18.6,35.4,24
190,Eberechi Eze,232413,7,3,55,8,4,163,0,1,3,0,32,25,23
360,Ederson Santana de Moraes,121160,13,1,55,13,6.5,180,0,0,0,2,20.6,0,0
165,Edouard Mendy,228286,6,1,50,8,4,180,0,0,2,1,53.6,0,0
521,Emerson Leite de Souza Junior,241157,18,2,50,10,5,167,0,2,3,0,46.4,24.6,26
41,Emiliano Buendía Stati,195546,2,3,60,9,4.5,75,1,0,2,0,47.6,54.6,55
30,Emiliano Martínez Romero,98980,2,1,50,4,2,180,0,0,3,0,43.8,0,0
129,Enock Mwepu,423649,5,3,54,2,1,39,0,0,0,0,13.6,22.7,6
506,Eric Dier,93264,18,2,50,9,4.5,180,1,0,3,0,66,0.4,37
