,Unnamed: 0,full_name,code,team,element_type,now_cost,total_points,points_per_game,minutes,goals_scored,assists,goals_conceded,clean_sheets,influence,creativity,threat,Unnamed: 16,id,player_name,time,xG,xA,shots,key_passes,yellow_cards,npxG,xGChain,xGBuildup,xP
2,13,Aaron Ramsdale,225321,1,1,50,7,3.5,180,0,0,2,1,30.6,0.0,0,161,5603,Aaron Ramsdale,180,0.0,0.0,0,0,0,0.0,0.057627331,0.057627331,6.5
11,328,Alisson Ramses Becker,116535,12,1,55,3,1.5,180,0,0,3,0,25.0,0.0,0,111,1257,Alisson,180,0.0,0.0,0,0,0,0.0,0.587642372,0.587642372,6.5
13,551,Alphonse Areola,84182,19,1,45,1,1.0,61,0,0,2,0,0.0,0.0,0,129,2310,Alphonse Areola,62,0.0,0.0,0,0,0,0.0,0.023832671,0.023832671,6.5
48,266,Danny Ward,95463,10,1,40,2,1.0,180,0,0,6,0,37.8,0.0,0,49,473,Danny Ward,180,0.0,0.0,0,0,0,0.0,0.115016647,0.115016647,6.5
51,381,David De Gea Quintana,51940,14,1,49,2,1.0,180,0,0,6,0,37.6,0.0,0,61,546,David de Gea,180,0.0,0.0,0,0,0,0.0,0.182597034,0.182597034,6.5
52,87,David Raya Martin,154561,4,1,45,9,4.5,180,0,0,2,1,47.4,0.0,0,290,9676,David Raya,180,0.0,0.0,0,0,0,0.0,0.01553738,0.01553738,6.5
53,460,Dean Henderson,172649,16,1,45,17,8.5,180,0,0,2,1,98.0,0.0,0,240,7702,Dean Henderson,180,0.0,0.0,0,0,1,0.0,0.127221376,0.127221376,22.5
63,360,Ederson Santana de Moraes,121160,13,1,55,13,6.5,180,0,0,0,2,20.6,0.0,0,179,6054,Ederson,180,0.0,0.0,0,0,0,0.0,0.949037932,0.949037932,6.5
64,165,Edouard Mendy,228286,6,1,50,8,4.0,180,0,0,2,1,53.6,0.0,0,208,6880,Edouard Mendy,180,0.0,0.0,0,0,1,0.0,0.392817944,0.392817944,6.5
67,30,Emiliano MartÃ­nez Romero,98980,2,1,50,4,2.0,180,0,0,3,0,43.8,0.0,0,146,4401,Emiliano Martinez,180,0.0,0.0,0,0,0,0.0,0.0,0.0,6.5
78,496,Gavin Bazunu,456350,17,1,45,3,1.5,180,0,0,6,0,61.0,0.0,0,327,10765,Gavin Bazunu,180,0.0,0.0,0,0,0,0.0,0.278778076,0.278778076,6.5
88,501,Hugo Lloris,37915,18,1,55,3,1.5,180,0,0,3,0,24.6,0.0,0,71,637,Hugo Lloris,180,0.0,0.0,0,0,0,0.0,0.853882134,0.853882134,6.5
90,306,Illan Meslier,437495,11,1,45,4,2.0,180,0,0,3,0,53.4,0.0,0,264,8715,Illan Meslier,180,0.0,0.0,0,0,0,0.0,0.0,0.0,6.5
127,207,Jordan Pickford,111234,8,1,45,4,2.0,180,0,0,3,0,47.0,0.0,0,82,741,Jordan Pickford,180,0.0,0.0,0,0,0,0.0,0.134275556,0.134275556,6.5
130,562,JosÃ© Malheiro de SÃ¡,149065,20,1,50,17,8.5,180,0,0,2,1,72.4,0.0,0,302,9740,JosÃ© SÃ¡,180,0.0,0.0,0,0,0,0.0,0.017455781,0.017455781,6.5
153,534,Lukasz Fabianski,37096,19,1,50,4,2.0,118,0,0,1,0,47.4,0.0,0,81,706,Lukasz Fabianski,118,0.0,0.0,0,0,0,0.0,0.032157723,0.032157723,6.5
162,246,Marek RodÃ¡k,155529,9,1,45,7,3.5,180,0,0,2,1,19.0,0.0,0,262,8704,Marek RodÃ¡k,180,0.0,0.0,0,0,0,0.0,0.0,0.0,6.5
163,73,Mark Travers,229600,3,1,45,7,3.5,180,0,0,4,1,45.2,0.0,0,232,7582,Mark Travers,180,0.0,0.0,0,0,0,0.0,0.289030027,0.289030027,6.5
188,436,Nick Pope,98747,15,1,50,16,8.0,180,0,0,0,2,41.0,0.0,0,155,5552,Nick Pope,180,0.0,0.0,0,0,0,0.0,0.550783038,0.550783038,6.5
215,124,Robert SÃ¡nchez,215059,5,1,45,10,5.0,180,0,0,1,1,46.0,0.0,0,281,9098,Robert SÃ¡nchez,180,0.0,0.0,0,0,0,0.0,0.016128626,0.016128626,6.5
247,173,Vicente Guaita,40836,7,1,45,3,1.5,180,0,0,3,0,40.2,0.0,0,126,2190,Vicente Guaita,180,0.0,0.0,0,0,1,0.0,0.458617412,0.458617412,6.5
