,Unnamed: 0,full_name,code,team,element_type,now_cost,total_points,points_per_game,minutes,goals_scored,assists,goals_conceded,clean_sheets,influence,creativity,threat,Unnamed: 16,id,player_name,time,xG,xA,shots,key_passes,yellow_cards,npxG,xGChain,xGBuildup,xP
3,210,Abdoulaye DoucourÃ©,121599,8,3,55,3,1.5,124,0,0,2,0,10.2,4.1,27,118,1726,Abdoulaye DoucourÃ©,124,0.091713272,0.0,2,0,0,0.091713272,0.169273406,0.169273406,15.631578947368421
5,114,Adam Lallana,39155,5,3,50,5,2.5,139,0,0,1,1,25.6,43.6,42,51,486,Adam Lallana,145,0.510406792,0.186925203,2,3,0,0.510406792,0.778181255,0.098189101,15.631578947368421
9,211,Alex Iwobi,153133,8,3,55,4,2.0,180,0,0,3,0,32.0,55.2,2,54,500,Alex Iwobi,180,0.0,0.244497575,0,4,0,0.0,0.220776521,0.041634414,15.631578947368421
10,127,Alexis Mac Allister,243016,5,3,55,2,1.0,180,0,0,1,1,13.2,5.6,11,256,8379,Alexis Mac Allister,180,0.063769795,0.0,4,0,1,0.063769795,0.593148787,0.529378951,15.631578947368421
12,428,Allan Saint-Maximin,170137,15,3,65,5,2.5,163,0,0,0,2,12.2,30.8,89,42,101,Allan Saint-Maximin,167,0.358396769,0.063757408,4,2,1,0.358396769,1.200024433,0.928128183,15.631578947368421
14,254,Andreas Hoelgebaum Pereira,156689,9,3,45,5,2.5,173,0,0,2,1,5.4,45.2,14,101,922,Andreas Pereira,178,0.046721026,0.081282306,1,3,0,0.046721026,0.209829472,0.110620378,15.631578947368421
16,220,Anthony Gordon,232826,8,3,55,4,2.0,180,0,0,3,0,8.6,2.5,58,249,8150,Anthony Gordon,180,0.165228777,0.0,4,0,0,0.165228777,0.245399781,0.080171011,15.631578947368421
23,69,Ben Pearson,156687,3,3,45,4,2.0,161,0,0,4,1,13.0,2.2,7,317,10742,Ben Pearson,165,0.042054176,0.0,1,0,1,0.042054176,0.068803057,0.026748877,15.631578947368421
25,238,Bobby De Cordova-Reid,96994,9,3,55,4,2.0,180,0,0,2,1,20.2,23.8,66,200,6827,Bobby Reid,180,0.168564588,0.063372105,3,1,1,0.168564588,0.204055963,0.102418384,15.631578947368421
26,51,Boubacar Kamara,226944,2,3,50,4,2.0,171,0,0,3,0,31.8,7.0,5,169,5789,Boubacar Kamara,175,0.015612097,0.0,1,0,0,0.015612097,0.657796673,0.657796673,15.631578947368421
27,314,Brenden Aaronson,427637,11,3,55,3,1.5,174,0,0,3,0,11.2,26.1,39,320,10751,Brenden Aaronson,177,0.089425026,0.040449653,3,1,1,0.089425026,0.148086129,0.058661103,15.631578947368421
29,387,Bruno Borges Fernandes,141746,14,3,99,3,1.5,179,0,0,6,0,19.8,59.7,30,109,1228,Bruno Fernandes,180,0.172660403,0.34371565,4,3,1,0.172660403,0.92857489,0.465441808,15.631578947368421
30,434,Bruno GuimarÃ£es Rodriguez Moura,208706,15,3,60,6,3.0,180,0,0,0,2,32.0,51.2,3,255,8327,Bruno GuimarÃ£es,180,0.017332915,0.282897234,1,3,0,0.017332915,1.167030334,0.930850208,15.631578947368421
32,11,Bukayo Saka,223340,1,3,80,8,4.0,173,0,1,2,1,15.6,51.5,59,224,7322,Bukayo Saka,178,0.311592452,0.307903528,4,3,0,0.311592452,0.728328526,0.182891183,15.631578947368421
36,199,Cheick DoucourÃ©,438464,7,3,50,4,2.0,152,0,0,2,0,18.6,31.8,3,261,8666,Cheick Oumar Doucoure,158,0.016806837,0.638023019,1,2,0,0.016806837,1.144095916,1.127289075,15.631578947368421
38,403,Christian Eriksen,80607,14,3,64,4,2.0,176,0,0,6,0,32.4,47.7,57,74,646,Christian Eriksen,180,0.546525389,0.13961713,5,3,0,0.546525389,1.172465503,0.496065386,15.631578947368421
39,85,Christian NÃ¸rgaard,128295,4,3,55,5,2.5,151,0,0,2,1,17.8,13.4,0,214,7083,Christian NÃ¸rgaard,158,0.0,0.02847209,0,1,0,0.0,0.593318487,0.593318487,15.631578947368421
45,567,Daniel Castelo Podence,200600,20,3,55,12,6.0,180,1,0,2,1,42.6,56.1,34,159,5595,Daniel James,61,0.058661103,0.0,1,0,0,0.058661103,0.058661103,0.0,15.631578947368421
46,299,Daniel James,200617,11,3,60,1,1.0,56,0,0,2,0,5.6,1.0,19,35,8291,Daniel Podence,180,0.521415815,0.168244839,4,4,1,0.521415815,1.136739284,0.513502754,15.631578947368421
54,546,Declan Rice,204480,19,3,50,1,0.5,180,0,0,3,0,39.6,7.6,19,156,5553,Declan Rice,180,0.821588393,0.0,2,0,1,0.060419556,0.292479347,0.232059792,15.631578947368421
55,522,Dejan Kulusevski,445044,18,3,81,15,7.5,175,1,1,3,0,68.8,41.4,49,29,6691,Dejan Kulusevski,178,0.187367797,0.575793684,2,3,0,0.187367797,1.158887744,0.395726234,15.631578947368421
56,214,Demarai Gray,172632,8,3,55,4,2.0,170,0,0,2,0,10.6,32.1,57,88,762,Demarai Gray,174,0.187875219,0.062284444,3,2,0,0.187875219,0.241688415,0.0,15.631578947368421
61,227,Dwight McNeil,433154,8,3,55,4,2.0,123,0,0,2,0,18.6,35.4,24,198,6756,Dwight McNeil,137,0.142889857,0.068438739,2,2,0,0.142889857,0.179204315,0.125391111,15.631578947368421
62,190,Eberechi Eze,232413,7,3,55,8,4.0,163,0,1,3,0,32.0,25.0,23,263,8706,Eberechi Eze,169,0.383123696,0.433534145,1,1,0,0.383123696,1.314028859,0.497371048,15.631578947368421
66,41,Emiliano BuendÃ­a Stati,195546,2,3,60,9,4.5,75,1,0,2,0,47.6,54.6,55,25,2203,Emiliano BuendÃ­a,68,1.086194158,0.179813551,2,4,0,1.086194158,1.217723489,0.131529272,15.631578947368421
68,129,Enock Mwepu,423649,5,3,54,2,1.0,39,0,0,0,0,13.6,22.7,6,300,9734,Enock Mwepu,35,0.0,0.130430259,0,2,0,0.0,0.019997172,0.019997172,15.631578947368421
73,329,Fabio Henrique Tavares,116643,12,3,55,3,1.5,148,0,0,2,0,29.6,22.8,4,141,3420,Fabinho,151,0.0,0.082369082,0,1,0,0.0,1.081933504,1.081933504,15.631578947368421
74,385,Frederico Rodrigues de Paula Santos,101582,14,3,54,2,1.0,97,0,0,6,0,4.8,7.3,5,199,6817,Fred,105,0.018669477,0.0,1,0,0,0.018669477,0.195028007,0.176358528,15.631578947368421
77,17,Gabriel Martinelli Silva,444145,1,3,63,16,8.0,180,2,0,2,1,80.6,67.0,54,4,7752,Gabriel Martinelli,180,0.925435506,0.635315686,3,5,0,0.925435506,1.261605352,0.27731609,25.818181818181817
80,586,GonÃ§alo Manuel Ganchinho Guedes,181284,20,3,60,1,1.0,32,0,0,0,0,0.0,1.2,0,165,5682,GonÃ§alo Guedes,30,0.0,0.0,0,0,0,0.0,0.0,0.0,15.631578947368421
81,1,Granit Xhaka,84450,1,3,50,14,7.0,180,1,1,2,1,71.4,40.5,30,8,204,Granit Xhaka,180,0.616963923,0.136696313,2,3,1,0.616963923,0.860313609,0.127531236,15.631578947368421
82,244,Harrison Reed,153366,9,3,45,4,2.0,180,0,0,2,1,28.2,38.3,22,100,910,Harrison Reed,180,0.078902163,0.139771789,1,3,1,0.078902163,0.255680813,0.087104157,15.631578947368421
86,341,Harvey Elliott,444884,12,3,50,5,2.5,117,0,0,2,0,24.6,40.5,63,231,7546,Harvey Elliott,119,0.186103374,0.347297439,3,3,0,0.186103374,1.789699659,1.256298788,15.631578947368421
87,565,Hwang Hee-chan,184754,20,3,60,6,3.0,141,0,1,2,0,32.2,28.8,49,270,8845,Hee-Chan Hwang,147,0.183958024,0.528313577,3,2,0,0.183958024,1.257393181,0.545121595,15.631578947368421
89,354,Ilkay GÃ¼ndogan,59859,13,3,75,13,6.5,141,1,0,0,2,45.4,60.6,47,9,314,Ilkay GÃ¼ndogan,151,0.591740683,0.236761495,4,5,0,0.591740683,1.121654212,0.506784387,15.631578947368421
93,443,Jack Colback,58771,16,3,45,2,2.0,90,0,0,2,0,14.4,1.3,0,89,767,Jack Colback,90,0.0,0.0,0,0,0,0.0,0.04274746,0.04274746,15.631578947368421
94,358,Jack Grealish,114283,13,3,70,4,2.0,135,0,0,0,1,13.2,54.4,18,78,675,Jack Grealish,130,0.060656518,0.727556661,1,4,0,0.060656518,1.335792214,0.566434149,15.631578947368421
95,301,Jack Harrison,221399,11,3,60,10,5.0,173,0,2,3,0,69.0,131.0,14,267,8720,Jack Harrison,178,0.0,1.200662911,0,11,2,0.0,1.182376802,0.222569108,15.631578947368421
98,46,Jacob Ramsey,232653,2,3,54,2,1.0,135,0,0,2,0,23.4,40.8,14,275,8941,Jacob Ramsey,139,0.05888588,0.214904577,2,3,1,0.05888588,0.368736565,0.208241113,15.631578947368421
99,394,Jadon Sancho,209243,14,3,74,3,1.5,148,0,0,6,0,13.2,49.1,22,189,6345,Jadon Sancho,154,0.0,0.211353678,0,4,0,0.0,0.504184723,0.292831041,15.631578947368421
101,273,James Maddison,172780,10,3,80,12,6.0,180,1,1,6,0,66.2,80.0,85,30,6818,James Maddison,180,0.391410157,0.172102273,8,6,0,0.391410157,0.494050846,0.172602974,15.631578947368421
102,321,James Milner,15157,12,3,45,6,3.0,93,0,1,2,0,28.2,31.0,18,53,489,James Milner,95,0.084419683,0.1132439,1,2,0,0.084419683,0.779791005,0.662446804,15.631578947368421
104,481,James Ward-Prowse,101178,17,3,65,11,5.5,180,1,0,6,0,58.8,59.3,25,16,843,James Ward-Prowse,180,0.09206954,0.127807498,3,3,0,0.09206954,0.177567113,0.036186699,15.631578947368421
107,544,Jarrod Bowen,178186,19,3,85,4,2.0,174,0,0,3,0,14.2,4.0,24,120,1776,Jarrod Bowen,178,0.184416007,0.0,2,0,0,0.184416007,0.218839958,0.073530331,15.631578947368421
109,65,Jefferson Lerma SolÃ­s,152551,3,3,50,10,5.0,180,1,0,4,1,49.0,0.2,17,24,2182,Jefferson Lerma,180,0.101869233,0.0,1,0,0,0.101869233,0.026748877,0.026748877,15.631578947368421
110,182,Jeffrey Schlupp,86417,7,3,50,4,2.0,172,0,0,3,0,29.4,7.1,32,86,757,Jeffrey Schlupp,177,0.15599288,0.0,3,0,0,0.15599288,0.670366943,0.51437407,15.631578947368421
111,467,Jesse Lingard,109322,16,3,60,8,4.0,180,0,1,2,1,12.6,40.8,34,63,558,Jesse Lingard,180,0.206179231,0.103531135,2,3,0,0.206179231,0.352457836,0.103914637,15.631578947368421
113,253,JoÃ£o Palhinha GonÃ§alves,154296,9,3,50,4,2.0,180,0,0,2,1,21.0,1.9,38,312,10715,JoÃ£o Palhinha,180,0.126523525,0.0,2,0,1,0.126523525,0.037738822,0.037738822,15.631578947368421
116,499,Joe Ayodele-Aribo,193204,17,3,55,9,4.5,119,1,0,4,0,48.6,7.3,77,40,10766,Joe Ayodele-Aribo,115,0.821739744,0.0,4,0,0,0.821739744,0.856034242,0.034294497,15.631578947368421
117,433,Joe Willock,200089,15,3,50,6,3.0,154,0,0,0,2,34.2,19.6,80,195,6630,Joe Willock,160,0.249127567,0.088041924,5,1,0,0.249127567,0.69470413,0.4155958,15.631578947368421
121,431,Joelinton CÃ¡ssio ApolinÃ¡rio de Lira,180974,15,3,60,8,4.0,180,0,1,0,2,53.2,60.1,28,41,87,Joelinton,180,0.241065308,0.305680711,3,4,1,0.241065308,1.23975917,1.032999247,15.631578947368421
122,36,John McGinn,122806,2,3,55,4,2.0,180,0,0,3,0,29.8,35.4,26,241,7723,John McGinn,180,0.098007292,0.655832946,5,2,0,0.098007292,1.449604094,1.408444237,15.631578947368421
125,180,Jordan Ayew,80146,7,3,55,4,2.0,152,0,0,3,0,24.8,37.9,24,77,672,Jordan Ayew,156,0.064033084,0.109228745,1,3,0,0.064033084,0.173261821,0.064033084,15.631578947368421
126,322,Jordan Henderson,56979,12,3,55,3,1.5,117,0,0,2,0,15.6,46.1,13,67,605,Jordan Henderson,114,0.039354734,0.573322402,2,3,0,0.039354734,1.380989969,0.790985953,15.631578947368421
129,148,Jorge Luiz Frello Filho,85955,6,3,60,13,6.5,162,1,0,1,1,50.2,44.7,27,22,1389,Jorginho,166,0.809251226,0.192809545,2,3,0,0.048082389,0.830237836,0.589345932,15.631578947368421
131,89,Josh Dasilva,183656,4,3,46,14,7.0,92,2,0,0,1,73.4,3.2,16,6,10405,Josh Dasilva,96,0.059620695,0.0,2,0,0,0.059620695,0.059620695,0.0,15.631578947368421
134,108,Keane Lewis-Potter,249231,4,3,54,1,1.0,31,0,0,0,0,5.2,0.2,2,333,10809,Keane Lewis-Potter,30,0.0,0.0,0,0,0,0.0,0.0,0.0,15.631578947368421
136,355,Kevin De Bruyne,61366,13,3,121,20,10.0,177,1,2,0,2,93.0,121.5,65,11,447,Kevin De Bruyne,180,0.302655317,1.091166705,6,8,0,0.302655317,2.01943922,1.117408127,33.1
139,278,Kiernan Dewsbury-Hall,215413,10,3,50,12,6.0,162,1,0,5,0,43.8,18.6,10,36,9739,Kiernan Dewsbury-Hall,164,0.047836149,0.01323621,2,1,0,0.047836149,0.237266146,0.197456323,15.631578947368421
143,563,Leander Dendoncker,151589,20,3,50,5,2.5,180,0,0,2,1,34.4,18.7,39,219,7236,Leander Dendoncker,180,0.523670256,0.013587232,3,1,0,0.523670256,1.042176515,0.593087181,15.631578947368421
144,123,Leandro Trossard,116216,5,3,65,4,2.0,148,0,0,1,1,9.8,44.1,51,236,7698,Leandro Trossard,154,0.185354449,0.1600613,4,2,1,0.185354449,1.071599111,0.753987908,15.631578947368421
145,44,Leon Bailey,215711,2,3,49,3,1.5,102,0,0,3,0,15.0,42.4,24,152,5221,Leon Bailey,99,0.076711841,0.439388264,1,2,0,0.076711841,0.62020345,0.104103349,15.631578947368421
146,68,Lewis Cook,155408,3,3,50,3,1.5,81,0,0,3,0,10.2,0.9,0,121,1789,Lewis Cook,83,0.0,0.0,0,0,0,0.0,0.0,0.0,15.631578947368421
148,466,Lewis O'Brien,243345,16,3,50,4,2.0,164,0,0,1,1,26.2,2.8,8,324,10759,Lewis O&#039;Brien,167,0.016488699,0.0,1,0,1,0.016488699,0.336866796,0.320378095,15.631578947368421
152,340,Luis DÃ­az,244731,12,3,80,11,5.5,167,1,0,3,0,54.8,19.3,66,37,10408,Luis DÃ­az,170,0.416259602,0.009840791,5,1,1,0.416259602,1.224161744,0.957498223,15.631578947368421
156,539,Manuel Lanzini,86934,19,3,55,2,1.0,77,0,0,1,0,1.2,2.8,16,60,535,Manuel Lanzini,79,0.044208325,0.0,2,0,0,0.044208325,0.044208325,0.0,15.631578947368421
