full_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,now_cost,id,player_name,time,xG,xA,shots,key_passes,yellow_cards,npxG,xGChain,xGBuildup
Aaron Connolly,3,3,61,1250,22,91.4,150.6,530,76,5,42,7991,Aaron Connolly,1279,4.553525606,0.562017158,36,6,0,4.553525606,4.356782122,0.354199411
Aaron Cresswell,3,0,79,2727,51,441,535.4,180,115.9,5,45,534,Aaron Cresswell,2739,1.032538125,3.006656665,18,26,7,1.032538125,6.834942104,4.891463637
Aaron Lennon,0,0,15,485,15,37.8,45,12,9.6,0,46,593,Aaron Lennon,466,0.024231426,0.158013582,1,2,4,0.024231426,0.290895429,0.10865042
Aaron Mooy,2,2,80,2079,33,614.9,436.6,291,134,6,47,6033,Aaron Mooy,2095,2.518191611,3.749102319,33,39,1,2.518191611,8.611672133,4.26419751
Aaron Ramsdale,0,1,126,3330,62,24,973.8,0,99.7,5,44,5603,Aaron Ramsdale,3330,0,0.531423394,0,2,0,0,2.167375199,1.635951802
Aaron Wan-Bissaka,0,4,127,3070,33,443.3,749.2,133,132.8,12,55,5584,Aaron Wan-Bissaka,3075,0.814919112,3.490916756,7,25,8,0.814919112,14.16557976,11.52116862
Abdoulaye Doucour�,4,4,113,3156,61,539,529.6,667,173.4,10,54,1726,Abdoulaye Doucouré,3189,5.280909617,4.084617623,61,38,8,5.280909617,13.54045408,7.193617694
Adam Lallana,1,1,27,371,5,68.8,107.2,74,25.1,1,57,486,Adam Lallana,362,0.808685023,0.653671555,5,4,1,0.808685023,3.720507052,2.313550264
Adam Masina,1,0,66,1815,31,201.3,351.2,109,66.4,6,43,1441,Adam Masina,1818,0.849282583,0.417630839,15,10,3,0.849282583,2.981863494,2.145974055
Adam Smith,0,1,49,2055,40,183,309.6,97,58.8,4,43,825,Adam Smith,2078,0.69261378,1.273224204,4,10,7,0.69261378,5.350800078,4.599220164
Adam Webster,3,1,88,2668,44,153.2,696.6,221,107.3,5,44,7699,Adam Webster,2668,1.577792896,1.094376815,16,10,4,1.577792896,6.39076218,6.152603228
Adama Traor�,4,9,130,2599,33,786.4,727.2,583,209.7,7,56,900,Adama Traoré,2596,3.707337396,7.551031334,43,49,1,3.707337396,15.27229515,5.655398901
Adrian Mariappa,0,0,26,1509,33,75.2,216.6,32,31.7,3,41,527,Adrián,873,0,0,0,0,1,0,2.574331187,2.574331187
Adri�n San Miguel del Castillo,0,0,27,873,10,0,131.4,0,13.2,2,40,524,Adrian Mariappa,1503,0.167165872,0.247899685,3,4,4,0.167165872,2.853157597,2.560190768
Ahmed El Mohamady,1,1,39,1024,28,324.1,254.6,67,64.6,2,41,1685,Ahmed Elmohamady,1007,0.195734027,2.220943574,5,22,1,0.195734027,3.627542907,2.72565309
Ainsley Maitland-Niles,0,2,41,1382,22,182,301.8,58,53.6,3,45,1750,Ainsley Maitland-Niles,1372,0.508408133,1.646096371,4,11,4,0.508408133,5.15650332,3.567148937
Alex Iwobi,1,0,52,1591,30,383.7,246.4,329,95.9,4,56,500,Alex Iwobi,1637,2.47862944,2.224674569,23,24,0,2.47862944,7.122992747,3.298394635
Alex McCarthy,0,0,104,2520,35,10,652,0,66,7,45,635,Alex McCarthy,2520,0,0.023693535,0,1,0,0,3.154215794,3.130522259
Alex Oxlade-Chamberlain,4,1,76,1475,12,298.2,300,406,99.9,8,61,966,Alex Oxlade-Chamberlain,1511,2.504467506,0.943688741,40,17,1,2.504467506,5.69325125,2.64896567
Alexander Tettey,1,1,67,2339,44,116.5,358,173,64.9,5,44,791,Alexander Tettey,2372,0.677077952,0.489977902,23,5,5,0.677077952,5.79071537,5.039048407
Alexandre Lacazette,10,7,118,1867,25,337.7,536.4,861,173.8,5,92,3277,Alexandre Lacazette,1890,8.664648203,3.342290916,52,24,8,8.664648203,12.06130165,2.505634623
Alexis Mac Allister,0,0,12,348,6,73.8,28.4,66,16.9,0,54,8379,Alexis Mac Allister,357,0.587467863,0.203351314,7,5,0,0.587467863,1.172587945,0.500704058
