full_name,element_type,now_cost,total_points,minutes,goals_scored,assists,goals_conceded,clean_sheets,influence,creativity,threat,id,player_name,time,xG,xA,shots,key_passes,yellow_cards,npxG,xGChain,xGBuildup
Aaron Connolly,4,52,38,783,2,1,17,1,104.2,74.1,307,7991,Aaron Connolly,799,4.464137131,0.160783852,23,6,0,4.464137131,4.783491692,0.191225428
Aaron Cresswell,2,57,153,3170,0,11,41,11,669.4,898.6,96,534,Aaron Cresswell,3176,0.883464439,7.390939908,19,58,3,0.883464439,10.62028263,8.392440526
Aaron Ramsdale,1,46,123,3420,0,0,63,5,1023,20,4,5603,Aaron Ramsdale,3420,0,0.077671627,0,2,1,0,2.89968746,2.822015842
Aaron Wan-Bissaka,2,58,144,3060,2,5,36,13,785.4,498.2,159,5584,Aaron Wan-Bissaka,3060,0.932453951,2.547663255,7,31,3,0.932453951,12.24212278,9.676274544
Abdoulaye Doucouré,3,51,80,2443,2,3,36,9,433.8,319.4,267,1726,Abdoulaye Doucouré,2468,2.36952303,2.388998985,18,21,6,2.36952303,10.45320771,6.8240926
Aboubakar Kamara,3,48,8,307,0,0,9,0,22.6,76.8,39,4866,Aboubakar Kamara,303,0.654920237,0.328968979,4,6,1,0.654920237,1.103214871,0.182326192
Adam Lallana,3,62,58,1584,1,1,18,5,255.2,355.7,302,486,Adam Lallana,1572,1.614305904,2.628757566,22,25,0,1.614305904,9.719970118,5.874304872
Adam Webster,2,43,85,2594,1,0,35,9,505.4,96.6,244,7699,Adam Webster,2596,1.2729571,0.253215602,25,5,4,1.2729571,7.724677037,7.582414305
Adama Traoré,3,60,94,2640,2,4,41,7,475.4,751,645,900,Adama Traoré,2630,2.076154182,5.27167132,43,55,4,2.076154182,9.475093045,3.006398071
Ademola Lookman,3,47,107,2746,4,4,33,10,514.2,884.6,928,5556,Ademola Lookman,2765,6.251116008,5.258407373,69,61,5,5.489947141,15.3552201,7.334159415
Ahmed El Mohamady,2,42,33,833,0,0,9,3,170.4,201.8,65,1685,Ahmed Elmohamady,823,0.341272764,0.989466429,9,13,2,0.341272764,2.426968084,1.610212275
Ainsley Maitland-Niles,2,46,68,1714,0,2,23,6,218.2,128.9,142,1750,Ainsley Maitland-Niles,1719,0.796191022,0.821991144,12,6,2,0.796191022,5.96847415,5.051884199
Aleksandar Mitrović,4,55,63,1389,3,3,24,1,245.6,323.8,697,773,Aleksandar Mitrovic,1369,5.677362999,2.924711155,59,23,3,4.155025309,7.808299113,1.849482123
Alex Iwobi,3,59,65,1530,1,3,21,5,262.6,263.1,233,500,Alex Iwobi,1536,0.843632018,2.155348901,15,16,0,0.843632018,7.21891633,4.475584606
Alex McCarthy,1,44,94,2700,0,0,57,7,741.2,0,0,635,Alex McCarthy,2700,0,0,0,0,2,0,2.763432538,2.763432538
