full_name,element_type,now_cost,total_points,minutes,goals_scored,assists,goals_conceded,clean_sheets,influence,creativity,threat,id,player_name,time,xG,xA,shots,key_passes,yellow_cards,npxG,xGChain,xGBuildup
Çaglar Söyüncü,2,45,66,2497,1,0,44,5,606.4,64.7,90,5264,Caglar Söyüncü,2500,1.008084316,0.087371653,8,3,5,1.008084316,5.909221165,5.821849506
Çaglar Söyüncü,2,53,59,1816,1,0,30,5,403.6,114.4,157,5264,Caglar Söyüncü,1802,0.53920823,0.326974956,10,7,2,0.53920823,7.390434857,7.368667569
Aaron Connolly,4,52,38,783,2,1,17,1,104.2,74.1,307,7991,Aaron Connolly,799,4.464137131,0.160783852,23,6,0,4.464137131,4.783491692,0.191225428
Aaron Cresswell,2,57,153,3170,0,11,41,11,669.4,898.6,96,534,Aaron Cresswell,3176,0.883464439,7.390939908,19,58,3,0.883464439,10.62028263,8.392440526
Aaron Cresswell,2,50,115,2726,2,4,38,7,589.2,545.7,187,534,Aaron Cresswell,2734,0.912432691,3.670589474,18,31,3,0.912432691,10.54369721,9.624681314
Aaron Ramsdale,1,50,135,3060,0,0,39,12,690.2,1,0,5603,Aaron Ramsdale,3060,0,0,0,0,1,0,3.995808562,3.995808562
Aaron Ramsdale,1,46,123,3420,0,0,63,5,1023,20,4,5603,Aaron Ramsdale,3420,0,0.077671627,0,2,1,0,2.89968746,2.822015842
Aaron Wan-Bissaka,2,58,144,3060,2,5,36,13,785.4,498.2,159,5584,Aaron Wan-Bissaka,3060,0.932453951,2.547663255,7,31,3,0.932453951,12.24212278,9.676274544
Aaron Wan-Bissaka,2,45,41,1793,0,0,35,3,371.8,237,123,5584,Aaron Wan-Bissaka,1795,0.287909931,0.92142104,5,14,2,0.287909931,5.104909781,4.222173505
Abdoulaye Doucouré,3,55,90,2536,2,5,47,5,481.8,285.8,441,1726,Abdoulaye Doucouré,2540,2.653875428,2.418743491,34,20,6,2.653875428,8.230575228,3.837187903
Abdoulaye Doucouré,3,51,80,2443,2,3,36,9,433.8,319.4,267,1726,Abdoulaye Doucouré,2468,2.36952303,2.388998985,18,21,6,2.36952303,10.45320771,6.8240926
Aboubakar Kamara,3,48,8,307,0,0,9,0,22.6,76.8,39,4866,Aboubakar Kamara,303,0.654920237,0.328968979,4,6,1,0.654920237,1.103214871,0.182326192
Adam Armstrong,4,55,57,1409,2,3,31,4,179.2,180.2,575,4419,Adam Armstrong,1412,4.238082007,1.624623843,47,13,1,4.238082007,6.217601873,0.794228179
Adam Forshaw,3,45,38,1526,0,1,41,2,217.2,195.3,119,1711,Adam Forshaw,1524,0.48424479,1.040743729,14,13,5,0.48424479,6.191524561,4.898988869
Adam Lallana,3,62,58,1584,1,1,18,5,255.2,355.7,302,486,Adam Lallana,1572,1.614305904,2.628757566,22,25,0,1.614305904,9.719970118,5.874304872
Adam Lallana,3,50,44,1559,0,1,20,6,209.4,162.9,173,486,Adam Lallana,1568,0.880113689,0.931783995,19,8,4,0.880113689,5.687925115,5.048137212
Adam Webster,2,43,85,2594,1,0,35,9,505.4,96.6,244,7699,Adam Webster,2596,1.2729571,0.253215602,25,5,4,1.2729571,7.724677037,7.582414305
Adam Webster,2,45,59,1429,2,0,20,4,416.8,51.4,120,7699,Adam Webster,1419,1.486675769,0.036905929,8,1,5,1.486675769,3.169360194,3.152343046
Adama Traoré,3,60,94,2640,2,4,41,7,475.4,751,645,900,Adama Traoré,2630,2.076154182,5.27167132,43,55,4,2.076154182,9.475093045,3.006398071
Adama Traoré Diarra,3,55,44,1069,1,1,10,5,192,271.1,300,900,Adama Traoré,1047,2.834239706,1.337098248,23,18,0,2.834239706,4.757494487,0.907688955
Ademola Lookman,3,47,107,2746,4,4,33,10,514.2,884.6,928,5556,Ademola Lookman,2765,6.251116008,5.258407373,69,61,5,5.489947141,15.3552201,7.334159415
Ahmed El Mohamady,2,42,33,833,0,0,9,3,170.4,201.8,65,1685,Ahmed Elmohamady,823,0.341272764,0.989466429,9,13,2,0.341272764,2.426968084,1.610212275
Ainsley Maitland-Niles,2,46,68,1714,0,2,23,6,218.2,128.9,142,1750,Ainsley Maitland-Niles,1719,0.796191022,0.821991144,12,6,2,0.796191022,5.96847415,5.051884199
Albert Sambi Lokonga,3,45,32,1129,0,0,11,7,192.4,263.4,108,9689,Albert Sambi Lokonga,1125,0.585318241,0.835428875,20,18,5,0.585318241,5.447862985,4.69208616
Aleksandar Mitrović,4,55,63,1389,3,3,24,1,245.6,323.8,697,773,Aleksandar Mitrovic,1369,5.677362999,2.924711155,59,23,3,4.155025309,7.808299113,1.849482123
Alex Iwobi,3,55,78,2029,2,2,38,6,370,501.4,357,500,Alex Iwobi,2041,2.403040841,3.065679945,24,36,1,2.403040841,9.433973527,5.091716401
Alex Iwobi,3,59,65,1530,1,3,21,5,262.6,263.1,233,500,Alex Iwobi,1536,0.843632018,2.155348901,15,16,0,0.843632018,7.21891633,4.475584606
Alex McCarthy,1,44,94,2700,0,0,57,7,741.2,0,0,635,Alex McCarthy,2700,0,0,0,0,2,0,2.763432538,2.763432538
Alex McCarthy,1,45,55,1530,0,0,27,5,334.4,10,0,635,Alex McCarthy,1530,0,0.023409102,0,1,1,0,2.008901509,1.985492406
Alex Nicolao Telles,2,53,25,689,0,2,11,1,168.6,200.7,33,1828,Alex Telles,696,0.145234646,0.784950957,5,12,0,0.145234646,3.626068473,3.52472055
Alex Oxlade-Chamberlain,3,50,42,777,2,1,7,3,162.8,170,208,966,Alex Oxlade-Chamberlain,783,1.180954352,1.266294792,21,10,0,1.180954352,5.642992157,3.540129518
Alex Telles,2,50,67,1658,0,4,26,5,399.6,455.6,103,1828,Alex Telles,1659,0.451514267,2.167028761,10,26,1,0.451514267,7.51489757,6.459276974
Alexandre Lacazette,4,84,129,1916,13,3,21,7,602.4,307.4,797,3277,Alexandre Lacazette,1939,12.02890942,2.209213115,45,22,3,9.745402876,14.36154239,2.937940784
Alexis Mac Allister,3,55,93,2112,5,2,29,6,509.6,490.7,550,8379,Alexis Mac Allister,2102,6.832576186,2.125687505,60,31,4,4.549069689,10.86274033,6.358381733
Alexis Mac Allister,3,53,48,1108,1,1,14,5,170.6,210.6,235,8379,Alexis Mac Allister,1110,1.353140607,1.870868495,24,15,1,1.353140607,5.655093249,3.266662317
Alireza Jahanbakhsh,3,54,24,520,0,1,9,1,73.2,162.8,221,6842,Alireza Jahanbakhsh,512,1.873219417,3.234296598,18,10,3,1.873219417,5.389569176,2.521948941
Alisson Ramses Becker,1,55,176,3240,0,1,24,20,721.4,10,0,1257,Alisson,3240,0,0.128067985,0,1,0,0,9.494231097,9.366163127
Alisson Ramses Becker,1,60,140,2970,1,0,32,10,776.4,0.1,17,1257,Alisson,2970,0.107681759,0,1,0,1,0.107681759,3.559325205,3.559325205
Allan Marques Loureiro,3,50,58,2181,0,3,38,6,391.4,228.4,82,1379,Allan,2196,0.240978952,0.651511026,7,14,7,0.240978952,5.809602976,5.090588424
Allan Marques Loureiro,3,52,47,2050,0,0,30,7,366.6,233.3,42,1379,Allan,2051,0.241721148,0.772285229,7,16,6,0.241721148,9.109652698,8.364447726
