,id,player_name,time,xG,xA,shots,key_passes,yellow_cards,npxG,xGChain,xGBuildup
59,534,Aaron Cresswell,180,0.054936752,0.362379491,1,6,0,0.054936752,0.331344366,0.285090089
276,8942,Aaron Hickey,169,0.04249813,0,1,0,0,0.04249813,0,0
161,5603,Aaron Ramsdale,180,0,0,0,0,0,0,0.057627331,0.057627331
118,1726,Abdoulaye Doucouré,124,0.091713272,0,2,0,0,0.091713272,0.169273406,0.169273406
147,4419,Adam Armstrong,73,0.051574197,0.702688754,1,1,0,0.051574197,0.770724561,0.719150364
51,486,Adam Lallana,145,0.510406792,0.186925203,2,3,0,0.510406792,0.778181255,0.098189101
95,825,Adam Smith,180,0.317424025,0,2,0,2,0.317424025,0.430913605,0.113489594
237,7699,Adam Webster,180,0.027804565,0,1,0,0,0.027804565,0.491450891,0.491450891
2,773,Aleksandar Mitrovic,180,1.815388024,0.148225911,7,2,1,0.293050319,0.34805689,0.078902163
54,500,Alex Iwobi,180,0,0.244497575,0,4,0,0,0.220776521,0.041634414
256,8379,Alexis Mac Allister,180,0.063769795,0,4,0,1,0.063769795,0.593148787,0.529378951
111,1257,Alisson,180,0,0,0,0,0,0,0.587642372,0.587642372
42,101,Allan Saint-Maximin,167,0.358396769,0.063757408,4,2,1,0.358396769,1.200024433,0.928128183
129,2310,Alphonse Areola,62,0,0,0,0,0,0,0.023832671,0.023832671
101,922,Andreas Pereira,178,0.046721026,0.081282306,1,3,0,0.046721026,0.209829472,0.110620378
116,1688,Andrew Robertson,156,0.080319382,0,1,0,0,0.080319382,1.465770066,1.385450721
249,8150,Anthony Gordon,180,0.165228777,0,4,0,0,0.165228777,0.245399781,0.080171011
274,8940,Antonee Robinson,180,0.0142226,0.071957447,1,1,0,0.0142226,0.109696269,0.023516221
298,9710,Armel Bella Kotchap,90,0.051009428,0,1,0,0,0.051009428,0.75369817,0.702688754
90,782,Ben Chilwell,74,0,0,0,0,0,0,0.142317265,0.142317265
76,660,Ben Davies,178,0.087457485,0.036633864,2,2,0,0.087457485,0.904017901,0.836574316
191,6424,Ben Johnson,180,0,0,0,0,0,0,0.218839958,0.218839958
23,1654,Ben Mee,150,0.561302781,0,1,0,0,0.561302781,0.049258433,0.049258433
317,10742,Ben Pearson,165,0.042054176,0,1,0,1,0.042054176,0.068803057,0.026748877
223,7298,Ben White,169,0,0.078886889,0,1,1,0,0.634750806,0.555863917
200,6827,Bobby Reid,180,0.168564588,0.063372105,3,1,1,0.168564588,0.204055963,0.102418384
169,5789,Boubacar Kamara,175,0.015612097,0,1,0,0,0.015612097,0.657796673,0.657796673
320,10751,Brenden Aaronson,177,0.089425026,0.040449653,3,1,1,0.089425026,0.148086129,0.058661103
325,10760,Brennan Johnson,180,0.11072126,0.574491143,2,1,1,0.11072126,0.812433779,0.127221376
109,1228,Bruno Fernandes,180,0.172660403,0.34371565,4,3,1,0.172660403,0.92857489,0.465441808
255,8327,Bruno Guimarães,180,0.017332915,0.282897234,1,3,0,0.017332915,1.167030334,0.930850208
28,6552,Bryan Mbeumo,167,0.472263366,0.185684502,4,1,0,0.472263366,0.657947868,0
224,7322,Bukayo Saka,178,0.311592452,0.307903528,4,3,0,0.311592452,0.728328526,0.182891183
79,681,César Azpilicueta,104,0,0.25220713,0,2,0,0,1.030901819,1.030901819
12,468,Callum Wilson,179,0.719353974,0.18924227,4,3,0,0.719353974,0.930683937,0.022087697
238,7700,Che Adams,90,0.011730433,0.013560585,1,1,0,0.011730433,1.096614122,1.071323156
261,8666,Cheick Oumar Doucoure,158,0.016806837,0.638023019,1,2,0,0.016806837,1.144095916,1.127289075
228,7384,Chris Mepham,180,0,0,0,0,1,0,0.026748877,0.026748877
