Understat_ID, FPL_ID, Understat_Name, FPL_Name
646,519,Christian Eriksen,Christian Eriksen
509,518,Wayne Hennessey,Wayne Hennessey
9733,516,Nathan Collins,Nathan Collins
3422,503,João Moutinho,
6857,493,Morgan Gibbs-White,Morgan Gibbs-White
10327,490,Chiquinho,
10293,489,Toti,
8778,488,Fabio Silva,Fabio Silva
6674,487,Rayan Ait Nouri,
6382,486,Pedro Neto,
8179,485,Luke Cundle,Luke Cundle
7332,484,Max Kilman,Max Kilman
8291,483,Daniel Podence,
6163,482,Nélson Semedo,
8845,481,Hee-Chan Hwang,
6853,480,Rúben Neves,
7236,479,Leander Dendoncker,Leander Dendoncker
9740,478,José Sá,
2280,477,Jonny,
4105,476,Raúl Jiménez,Raúl Jiménez
6851,475,Conor Coady,Conor Coady
6850,474,Willy Boly,Willy Boly
2310,473,Alphonse Areola,Alphonse Areola
6424,471,Ben Johnson,Ben Johnson
3203,470,Issa Diop,Issa Diop
2335,469,Pablo Fornals,
8288,468,Tomas Soucek,Tomas Soucek
5553,467,Declan Rice,Declan Rice
6276,466,Nikola Vlasic,Nikola Vlasic
1776,465,Jarrod Bowen,Jarrod Bowen
3585,464,Said Benrahma,
8965,463,Vladimir Coufal,Vladimir Coufal
1760,462,Arthur Masuaku,Arthur Masuaku
935,461,Kurt Zouma,Kurt Zouma
535,460,Manuel Lanzini,Manuel Lanzini
804,459,Craig Dawson,Craig Dawson
531,458,Michail Antonio,Michail Antonio
534,457,Aaron Cresswell,Aaron Cresswell
528,456,Angelo Ogbonna,Angelo Ogbonna
706,455,Lukasz Fabianski,Lukasz Fabianski
6026,454,Richarlison,
9332,447,Dane Scarlett,Dane Scarlett
6691,446,Dejan Kulusevski,Dejan Kulusevski
5609,444,Yves Bissouma,Yves Bissouma
7218,443,Cristian Romero,Cristian Romero
6377,442,Joe Rodon,Joe Rodon
7198,441,Oliver Skipp,Oliver Skipp
6108,440,Rodrigo Bentancur,Rodrigo Bentancur
8222,439,Japhet Tanganga,Japhet Tanganga
7187,438,Sergio Reguilón,Sergio Reguilón
8300,437,Steven Bergwijn,Steven Bergwijn
6837,436,Ryan Sessegnon,Ryan Sessegnon
6249,435,Davinson Sánchez,Davinson Sánchez
971,434,Harry Winks,Harry Winks
343,433,Pierre-Emile Højbjerg,Pierre-Emile Højbjerg
660,432,Ben Davies,Ben Davies
3293,431,Lucas Moura,
643,430,Eric Dier,Eric Dier
6852,429,Matt Doherty,Matt Doherty
453,428,Son Heung-Min,
647,427,Harry Kane,Harry Kane
831,426,Fraser Forster,Fraser Forster
637,425,Hugo Lloris,Hugo Lloris
624,424,Willy Caballero,Willy Caballero
6923,420,Mohammed Salisu,Mohammed Salisu
9512,419,Valentino Livramento,
7701,418,Moussa Djenepo,Moussa Djenepo
6500,417,Romain Perraud,Romain Perraud
6736,416,Ibrahima Diallo,Ibrahima Diallo
8224,415,William Smallbone,
7280,414,Yan Valery,Yan Valery
6252,413,Lyanco,
8456,412,Nathan Tella,Nathan Tella
7700,411,Che Adams,Che Adams
6042,410,Jan Bednarek,Jan Bednarek
885,409,Kyle Walker-Peters,Kyle Walker-Peters
4419,408,Adam Armstrong,Adam Armstrong
843,407,James Ward-Prowse,James Ward-Prowse
6894,406,Mohamed Elyounoussi,Mohamed Elyounoussi
6893,405,Stuart Armstrong,Stuart Armstrong
1735,404,Jack Stephens,Jack Stephens
790,403,Nathan Redmond,Nathan Redmond
842,402,Oriol Romeu,
635,401,Alex McCarthy,Alex McCarthy
503,400,Theo Walcott,Theo Walcott
5552,376,Nick Pope,Nick Pope
1746,375,Jeff Hendrick,Jeff Hendrick
8327,374,Bruno Guimarães,
6630,373,Joe Willock,Joe Willock
7691,372,Jamal Lewis,Jamal Lewis
87,371,Joelinton,
7078,370,Sean Longstaff,Sean Longstaff
7420,369,Miguel Almirón,
101,368,Allan Saint-Maximin,Allan Saint-Maximin
884,367,Matt Targett,Matt Targett
76,366,Fabian Schär,Fabian Schär
6063,365,Jacob Murphy,Jacob Murphy
1545,364,Emil Krafth,Emil Krafth
1719,363,Javier Manquillo,
